en,cy,symbol,dyddiadau
Aries,Yr Hwrdd,♈️,21 Mawrth – 20 Ebrill
Taurus,Y Tarw,♉️,21 Ebrill – 21 Mai
Gemini,Y Gefeilliaid,♊️,22 Mai – 21 Mehefin
Cancer,Y Cranc,♋️,22 Mehefin – 22 Gorffennaf
Leo,Y Llew,♌️,23 Gorffennaf – 22 Awst
Virgo,Y Forwyn,♍️,23 Awst – 22 Medi
Libra,Y Fantol,♎️,23 Medi – 22 Hydref
Scorpio,Y Sgorpion,♏️,23 Hydref – 22 Tachwedd
Sagittarius,Y Saethydd,♐️,23 Tachwedd – 21 Rhagfyr
Capricorn,Yr Afr,♑️,22 Rhagfyr – 20 Ionawr
Aquarius,Y Dyfrwr,♒️,21 Ionawr – 18 Chwefror
Pisces,Y Pysgod,♓️,19 Chwefror – 20 Mawrth